symptoms,prescription
"loss of appetite, palpitations, swelling","oral rehydration salts, metronidazole 400mg tid, spirometry"
"weight loss, sore throat","amoxicillin 500mg tid, diclofenac 50mg bid, stool test, kidney function test"
"vomiting, back pain, sore throat","loratadine 10mg od, amoxicillin 500mg tid, stool test, blood sugar test"
"abdominal pain, ear pain, skin rash, difficulty breathing","pantoprazole 40mg od, salbutamol inhaler prn, metronidazole 400mg tid, urine analysis, cbc blood test"
"runny nose, chest pain, swelling, weight loss","atorvastatin 10mg od, hydrocortisone cream bid, x-ray chest"
"night sweats, abdominal pain, fatigue, diarrhea","oral rehydration salts, atorvastatin 10mg od, serum electrolytes"
"productive cough, sneezing, shortness of breath, burning urination","amoxicillin 500mg tid, diclofenac 50mg bid, serum electrolytes"
"productive cough, difficulty breathing, body ache, chest pain","levocetirizine 5mg od, hydrocortisone cream bid, cbc blood test, ecg test"
"shortness of breath, diarrhea","levocetirizine 5mg od, salbutamol inhaler prn, dengue test"
"fatigue, chest pain","amoxicillin 500mg tid, oral rehydration salts, doxycycline 100mg bid, kidney function test, throat swab culture"
"itching, night sweats","pantoprazole 40mg od, iron supplements od, ondansetron 4mg tid, ecg test"
"back pain, weight loss, swelling, joint pain","ondansetron 4mg tid, loratadine 10mg od, paracetamol 500mg tid, malaria parasite test, ecg test"
"skin rash, productive cough, weight loss","oral rehydration salts, diclofenac 50mg bid, throat swab culture, cbc blood test"
"loss of appetite, runny nose, fatigue","ibuprofen 400mg bid, paracetamol 500mg tid, malaria parasite test"
"loss of taste, cough","ondansetron 4mg tid, ibuprofen 400mg bid, multivitamin daily, liver function test, stool test"
"eye redness, cough, vomiting, diarrhea","ondansetron 4mg tid, pantoprazole 40mg od, cbc blood test, serum electrolytes"
"body ache, vomiting","paracetamol 500mg tid, levocetirizine 5mg od, kidney function test, urine analysis"
"skin rash, night sweats, runny nose","pantoprazole 40mg od, loratadine 10mg od, x-ray chest, liver function test"
"joint pain, body ache, chest pain","atorvastatin 10mg od, azithromycin 500mg od, ecg test, urine analysis"
"vomiting, fatigue","amoxicillin 500mg tid, azithromycin 500mg od, blood sugar test"
"loss of taste, skin rash","hydrocortisone cream bid, ondansetron 4mg tid, doxycycline 100mg bid, throat swab culture"
"runny nose, loss of smell, chest pain","loratadine 10mg od, hydrocortisone cream bid, paracetamol 500mg tid, cbc blood test"
"back pain, weight loss","atorvastatin 10mg od, ondansetron 4mg tid, spirometry, serum electrolytes"
"back pain, loss of appetite, chest pain, vomiting","pantoprazole 40mg od, diclofenac 50mg bid, ibuprofen 400mg bid, stool test, serum electrolytes"
"sore throat, chest pain","ibuprofen 400mg bid, pantoprazole 40mg od, doxycycline 100mg bid, throat swab culture"
"muscle pain, chest pain, sore throat, itching","azithromycin 500mg od, levocetirizine 5mg od, oral rehydration salts, spirometry, ecg test"
"joint pain, dizziness","ibuprofen 400mg bid, pantoprazole 40mg od, ondansetron 4mg tid, x-ray chest"
"chest pain, weight loss","azithromycin 500mg od, atorvastatin 10mg od, amoxicillin 500mg tid, throat swab culture, spirometry"
"muscle pain, chest pain, fever","atorvastatin 10mg od, hydrocortisone cream bid, cbc blood test"
"body ache, itching","amoxicillin 500mg tid, atorvastatin 10mg od, hydrocortisone cream bid, ecg test, spirometry"
"chest pain, fatigue","loratadine 10mg od, amoxicillin 500mg tid, oral rehydration salts, spirometry"
"diarrhea, burning urination, fatigue","levocetirizine 5mg od, pantoprazole 40mg od, cbc blood test, kidney function test"
"weight loss, night sweats, joint pain","doxycycline 100mg bid, loratadine 10mg od, cbc blood test, blood sugar test"
"joint pain, abdominal pain, fever, weight loss","levocetirizine 5mg od, hydrocortisone cream bid, multivitamin daily, stool test, liver function test"
"sneezing, fatigue, muscle pain","doxycycline 100mg bid, multivitamin daily, ecg test, kidney function test"
"joint pain, skin rash","metronidazole 400mg tid, paracetamol 500mg tid, throat swab culture, blood sugar test"
"cough, itching","azithromycin 500mg od, cetirizine 10mg od, atorvastatin 10mg od, spirometry, blood sugar test"
"shortness of breath, swelling, cough","azithromycin 500mg od, ondansetron 4mg tid, diclofenac 50mg bid, x-ray chest, malaria parasite test"
"sore throat, fatigue","metronidazole 400mg tid, paracetamol 500mg tid, throat swab culture, ecg test"
"loss of smell, joint pain, headache, abdominal pain","hydrocortisone cream bid, amoxicillin 500mg tid, blood sugar test"
"loss of smell, fever, ear pain","diclofenac 50mg bid, hydrocortisone cream bid, malaria parasite test"
"cough, dizziness","metronidazole 400mg tid, diclofenac 50mg bid, oral rehydration salts, kidney function test"
"palpitations, eye redness, sore throat","salbutamol inhaler prn, ondansetron 4mg tid, ecg test"
"dizziness, chest pain, burning urination","oral rehydration salts, iron supplements od, diclofenac 50mg bid, ecg test"
"cough, loss of smell","metronidazole 400mg tid, cetirizine 10mg od, dengue test"
"diarrhea, headache, vomiting","salbutamol inhaler prn, azithromycin 500mg od, urine analysis"
"body ache, abdominal pain","pantoprazole 40mg od, oral rehydration salts, hydrocortisone cream bid, throat swab culture, blood sugar test"
"sneezing, loss of smell, sore throat","paracetamol 500mg tid, doxycycline 100mg bid, x-ray chest, dengue test"
"sore throat, ear pain, muscle pain","amoxicillin 500mg tid, hydrocortisone cream bid, x-ray chest, urine analysis"
"diarrhea, body ache, sore throat","levocetirizine 5mg od, metronidazole 400mg tid, stool test, serum electrolytes"
"productive cough, muscle pain","amoxicillin 500mg tid, diclofenac 50mg bid, liver function test, dengue test"
"palpitations, chest pain, runny nose","metronidazole 400mg tid, ibuprofen 400mg bid, spirometry, blood sugar test"
"body ache, weight loss, productive cough","paracetamol 500mg tid, oral rehydration salts, cbc blood test"
"loss of taste, chest pain, skin rash, fever","cetirizine 10mg od, multivitamin daily, dengue test"
"abdominal pain, shortness of breath, weight loss, palpitations","salbutamol inhaler prn, azithromycin 500mg od, malaria parasite test"
"eye redness, joint pain, fever, cough","doxycycline 100mg bid, loratadine 10mg od, diclofenac 50mg bid, x-ray chest"
"dizziness, productive cough, runny nose, diarrhea","amoxicillin 500mg tid, atorvastatin 10mg od, salbutamol inhaler prn, serum electrolytes, stool test"
"loss of smell, frequent urination","paracetamol 500mg tid, hydrocortisone cream bid, loratadine 10mg od, liver function test, kidney function test"
"ear pain, joint pain, frequent urination, sore throat","salbutamol inhaler prn, ondansetron 4mg tid, paracetamol 500mg tid, serum electrolytes"
"sore throat, palpitations","azithromycin 500mg od, doxycycline 100mg bid, serum electrolytes, cbc blood test"
"swelling, sneezing","ibuprofen 400mg bid, paracetamol 500mg tid, liver function test"
"skin rash, abdominal pain, frequent urination, body ache","salbutamol inhaler prn, amoxicillin 500mg tid, throat swab culture, malaria parasite test"
"muscle pain, fever, skin rash, night sweats","oral rehydration salts, doxycycline 100mg bid, ondansetron 4mg tid, dengue test, stool test"
"palpitations, sneezing","salbutamol inhaler prn, oral rehydration salts, serum electrolytes, urine analysis"
"body ache, runny nose, back pain","loratadine 10mg od, pantoprazole 40mg od, atorvastatin 10mg od, dengue test, serum electrolytes"
"weight loss, swelling, runny nose","loratadine 10mg od, ondansetron 4mg tid, blood sugar test, dengue test"
"palpitations, back pain","atorvastatin 10mg od, diclofenac 50mg bid, x-ray chest, serum electrolytes"
"muscle pain, chest pain","metronidazole 400mg tid, paracetamol 500mg tid, dengue test"
"loss of appetite, burning urination, ear pain","amoxicillin 500mg tid, salbutamol inhaler prn, paracetamol 500mg tid, urine analysis, serum electrolytes"
"itching, muscle pain, loss of smell","loratadine 10mg od, multivitamin daily, spirometry"
"muscle pain, shortness of breath","salbutamol inhaler prn, multivitamin daily, dengue test, urine analysis"
"runny nose, night sweats","diclofenac 50mg bid, ibuprofen 400mg bid, pantoprazole 40mg od, spirometry"
"burning urination, chest pain, diarrhea, cough","atorvastatin 10mg od, multivitamin daily, levocetirizine 5mg od, serum electrolytes"
"itching, difficulty breathing, swelling","pantoprazole 40mg od, azithromycin 500mg od, dengue test, stool test"
"dizziness, sore throat, joint pain, headache","cetirizine 10mg od, levocetirizine 5mg od, pantoprazole 40mg od, cbc blood test, ecg test"
"runny nose, headache, body ache, loss of taste","doxycycline 100mg bid, hydrocortisone cream bid, stool test, spirometry"
"sneezing, muscle pain, difficulty breathing, fever","doxycycline 100mg bid, hydrocortisone cream bid, spirometry, kidney function test"
"palpitations, abdominal pain","loratadine 10mg od, cetirizine 10mg od, malaria parasite test, liver function test"
"dizziness, muscle pain, shortness of breath, headache","pantoprazole 40mg od, levocetirizine 5mg od, ecg test"
"cough, weight loss","azithromycin 500mg od, multivitamin daily, iron supplements od, throat swab culture"
"dizziness, cough, eye redness, loss of appetite","cetirizine 10mg od, levocetirizine 5mg od, salbutamol inhaler prn, cbc blood test"
"loss of taste, sneezing, eye redness, shortness of breath","diclofenac 50mg bid, atorvastatin 10mg od, stool test"
"muscle pain, dizziness","loratadine 10mg od, azithromycin 500mg od, iron supplements od, blood sugar test"
"itching, runny nose, difficulty breathing, loss of smell","oral rehydration salts, loratadine 10mg od, pantoprazole 40mg od, malaria parasite test, x-ray chest"
"diarrhea, back pain, ear pain","salbutamol inhaler prn, loratadine 10mg od, cbc blood test, x-ray chest"
"loss of smell, loss of taste","hydrocortisone cream bid, levocetirizine 5mg od, serum electrolytes"
"joint pain, abdominal pain","metronidazole 400mg tid, azithromycin 500mg od, salbutamol inhaler prn, liver function test"
"eye redness, loss of appetite, back pain","ibuprofen 400mg bid, multivitamin daily, malaria parasite test"
"back pain, palpitations","salbutamol inhaler prn, loratadine 10mg od, ibuprofen 400mg bid, urine analysis"
"joint pain, shortness of breath, swelling, abdominal pain","ibuprofen 400mg bid, pantoprazole 40mg od, doxycycline 100mg bid, throat swab culture, spirometry"
"shortness of breath, sore throat, ear pain","amoxicillin 500mg tid, metronidazole 400mg tid, liver function test, spirometry"
"shortness of breath, ear pain, runny nose","iron supplements od, cetirizine 10mg od, urine analysis, throat swab culture"
"muscle pain, abdominal pain","atorvastatin 10mg od, doxycycline 100mg bid, stool test, spirometry"
"cough, palpitations","amoxicillin 500mg tid, doxycycline 100mg bid, dengue test, serum electrolytes"
"loss of appetite, sore throat","pantoprazole 40mg od, metronidazole 400mg tid, atorvastatin 10mg od, urine analysis, liver function test"
"diarrhea, difficulty breathing, burning urination, dizziness","doxycycline 100mg bid, ibuprofen 400mg bid, spirometry"
"productive cough, palpitations, chest pain","multivitamin daily, cetirizine 10mg od, doxycycline 100mg bid, ecg test, kidney function test"
"sore throat, muscle pain","iron supplements od, pantoprazole 40mg od, liver function test, x-ray chest"
"loss of appetite, skin rash","ondansetron 4mg tid, hydrocortisone cream bid, dengue test"
"ear pain, weight loss","multivitamin daily, atorvastatin 10mg od, liver function test, urine analysis"
"productive cough, runny nose","atorvastatin 10mg od, amoxicillin 500mg tid, liver function test"
"shortness of breath, palpitations, eye redness","loratadine 10mg od, oral rehydration salts, kidney function test"
"chest pain, palpitations","azithromycin 500mg od, pantoprazole 40mg od, salbutamol inhaler prn, stool test"
"burning urination, swelling, frequent urination, shortness of breath","diclofenac 50mg bid, oral rehydration salts, ibuprofen 400mg bid, stool test"
"productive cough, weight loss, itching","ibuprofen 400mg bid, diclofenac 50mg bid, multivitamin daily, dengue test, urine analysis"
"skin rash, diarrhea, fatigue, night sweats","multivitamin daily, salbutamol inhaler prn, kidney function test, dengue test"
"sneezing, abdominal pain","azithromycin 500mg od, metronidazole 400mg tid, diclofenac 50mg bid, spirometry"
"muscle pain, ear pain, weight loss, body ache","pantoprazole 40mg od, hydrocortisone cream bid, ondansetron 4mg tid, spirometry"
"skin rash, burning urination","cetirizine 10mg od, atorvastatin 10mg od, dengue test"
"muscle pain, fatigue, headache","salbutamol inhaler prn, ibuprofen 400mg bid, liver function test"
"shortness of breath, palpitations, chest pain","amoxicillin 500mg tid, multivitamin daily, salbutamol inhaler prn, urine analysis"
"chest pain, runny nose, night sweats","loratadine 10mg od, ondansetron 4mg tid, throat swab culture, spirometry"
"loss of appetite, frequent urination, burning urination","cetirizine 10mg od, ibuprofen 400mg bid, cbc blood test"
"fatigue, skin rash","ibuprofen 400mg bid, doxycycline 100mg bid, x-ray chest, dengue test"
"chest pain, cough, skin rash, fatigue","ibuprofen 400mg bid, levocetirizine 5mg od, serum electrolytes, ecg test"
"itching, skin rash, loss of taste, back pain","cetirizine 10mg od, levocetirizine 5mg od, azithromycin 500mg od, ecg test"
"fever, loss of appetite, palpitations","ibuprofen 400mg bid, paracetamol 500mg tid, diclofenac 50mg bid, liver function test"
"difficulty breathing, skin rash","amoxicillin 500mg tid, diclofenac 50mg bid, atorvastatin 10mg od, ecg test"
"fatigue, muscle pain, headache, frequent urination","ondansetron 4mg tid, multivitamin daily, loratadine 10mg od, spirometry, kidney function test"
"loss of appetite, frequent urination","metronidazole 400mg tid, oral rehydration salts, blood sugar test"
"diarrhea, difficulty breathing, abdominal pain, ear pain","levocetirizine 5mg od, ibuprofen 400mg bid, pantoprazole 40mg od, liver function test, ecg test"
"runny nose, sore throat, muscle pain, shortness of breath","atorvastatin 10mg od, hydrocortisone cream bid, liver function test"
"productive cough, weight loss, abdominal pain, palpitations","paracetamol 500mg tid, atorvastatin 10mg od, cbc blood test"
"diarrhea, sore throat","salbutamol inhaler prn, diclofenac 50mg bid, cetirizine 10mg od, malaria parasite test"
"loss of smell, palpitations, joint pain","iron supplements od, cetirizine 10mg od, metronidazole 400mg tid, urine analysis, ecg test"
"loss of taste, joint pain, sore throat, skin rash","diclofenac 50mg bid, pantoprazole 40mg od, malaria parasite test"
"vomiting, headache","azithromycin 500mg od, ondansetron 4mg tid, oral rehydration salts, kidney function test"
"loss of smell, shortness of breath, vomiting","doxycycline 100mg bid, multivitamin daily, azithromycin 500mg od, urine analysis"
"shortness of breath, cough, itching, fatigue","pantoprazole 40mg od, levocetirizine 5mg od, urine analysis"
"loss of smell, productive cough, eye redness","metronidazole 400mg tid, azithromycin 500mg od, pantoprazole 40mg od, throat swab culture, urine analysis"
"diarrhea, body ache, shortness of breath, palpitations","levocetirizine 5mg od, metronidazole 400mg tid, ibuprofen 400mg bid, malaria parasite test"
"itching, muscle pain","atorvastatin 10mg od, levocetirizine 5mg od, metronidazole 400mg tid, ecg test, throat swab culture"
"cough, burning urination","pantoprazole 40mg od, metronidazole 400mg tid, amoxicillin 500mg tid, kidney function test, blood sugar test"
"ear pain, cough, swelling","paracetamol 500mg tid, iron supplements od, kidney function test, throat swab culture"
"night sweats, loss of smell","levocetirizine 5mg od, metronidazole 400mg tid, urine analysis, dengue test"
"chest pain, fatigue","atorvastatin 10mg od, loratadine 10mg od, metronidazole 400mg tid, kidney function test"
"sneezing, skin rash, body ache, headache","loratadine 10mg od, diclofenac 50mg bid, x-ray chest, liver function test"
"productive cough, skin rash","paracetamol 500mg tid, ondansetron 4mg tid, urine analysis"
"fatigue, loss of appetite, skin rash, loss of smell","multivitamin daily, doxycycline 100mg bid, liver function test, throat swab culture"
"vomiting, difficulty breathing, abdominal pain, headache","ibuprofen 400mg bid, iron supplements od, loratadine 10mg od, throat swab culture"
"sneezing, loss of smell, chest pain","azithromycin 500mg od, metronidazole 400mg tid, dengue test"
"palpitations, weight loss","ondansetron 4mg tid, diclofenac 50mg bid, blood sugar test, stool test"
"joint pain, dizziness, night sweats","atorvastatin 10mg od, loratadine 10mg od, ibuprofen 400mg bid, throat swab culture"
"back pain, dizziness","atorvastatin 10mg od, metronidazole 400mg tid, malaria parasite test, urine analysis"
"joint pain, vomiting","hydrocortisone cream bid, doxycycline 100mg bid, pantoprazole 40mg od, kidney function test"
"dizziness, palpitations","loratadine 10mg od, azithromycin 500mg od, levocetirizine 5mg od, x-ray chest, urine analysis"
"frequent urination, sore throat, diarrhea, itching","metronidazole 400mg tid, ondansetron 4mg tid, cetirizine 10mg od, cbc blood test, dengue test"
"eye redness, fever, loss of smell","diclofenac 50mg bid, cetirizine 10mg od, throat swab culture"
"fatigue, ear pain, abdominal pain, muscle pain","cetirizine 10mg od, ondansetron 4mg tid, diclofenac 50mg bid, serum electrolytes, dengue test"
"difficulty breathing, back pain, fatigue","doxycycline 100mg bid, azithromycin 500mg od, urine analysis"
"fever, swelling, eye redness","cetirizine 10mg od, oral rehydration salts, paracetamol 500mg tid, stool test"
"loss of appetite, runny nose, productive cough, loss of taste","atorvastatin 10mg od, ondansetron 4mg tid, malaria parasite test"
"muscle pain, skin rash, loss of appetite, headache","ondansetron 4mg tid, loratadine 10mg od, throat swab culture, dengue test"
"loss of taste, back pain","metronidazole 400mg tid, atorvastatin 10mg od, spirometry"
"loss of appetite, joint pain","multivitamin daily, doxycycline 100mg bid, throat swab culture, malaria parasite test"
"vomiting, difficulty breathing, runny nose, swelling","hydrocortisone cream bid, iron supplements od, atorvastatin 10mg od, stool test"
"diarrhea, skin rash, fever, back pain","amoxicillin 500mg tid, multivitamin daily, paracetamol 500mg tid, urine analysis, stool test"
"dizziness, sneezing","atorvastatin 10mg od, multivitamin daily, ondansetron 4mg tid, cbc blood test"
"loss of taste, loss of smell, cough","salbutamol inhaler prn, diclofenac 50mg bid, levocetirizine 5mg od, ecg test, dengue test"
"loss of appetite, itching, difficulty breathing, diarrhea","hydrocortisone cream bid, pantoprazole 40mg od, atorvastatin 10mg od, ecg test"
"shortness of breath, loss of smell, ear pain","metronidazole 400mg tid, oral rehydration salts, paracetamol 500mg tid, dengue test"
"body ache, night sweats, fatigue","diclofenac 50mg bid, loratadine 10mg od, stool test, liver function test"
"weight loss, fever, productive cough, itching","multivitamin daily, iron supplements od, urine analysis, kidney function test"
"back pain, night sweats, swelling","levocetirizine 5mg od, amoxicillin 500mg tid, azithromycin 500mg od, stool test, kidney function test"
"joint pain, swelling","ondansetron 4mg tid, diclofenac 50mg bid, dengue test"
"frequent urination, diarrhea, joint pain","oral rehydration salts, metronidazole 400mg tid, liver function test, cbc blood test"
"productive cough, fatigue","hydrocortisone cream bid, pantoprazole 40mg od, amoxicillin 500mg tid, urine analysis, spirometry"
"joint pain, fatigue","metronidazole 400mg tid, amoxicillin 500mg tid, levocetirizine 5mg od, x-ray chest, dengue test"
"dizziness, palpitations, chest pain, skin rash","doxycycline 100mg bid, ibuprofen 400mg bid, urine analysis, stool test"
"sneezing, muscle pain","azithromycin 500mg od, salbutamol inhaler prn, doxycycline 100mg bid, stool test, throat swab culture"
"diarrhea, loss of appetite, vomiting, weight loss","iron supplements od, multivitamin daily, hydrocortisone cream bid, liver function test, dengue test"
"back pain, body ache, shortness of breath","doxycycline 100mg bid, oral rehydration salts, hydrocortisone cream bid, ecg test"
"dizziness, abdominal pain, eye redness, palpitations","amoxicillin 500mg tid, pantoprazole 40mg od, hydrocortisone cream bid, urine analysis, ecg test"
"itching, joint pain, difficulty breathing, shortness of breath","atorvastatin 10mg od, levocetirizine 5mg od, iron supplements od, urine analysis, spirometry"
"chest pain, muscle pain, dizziness","cetirizine 10mg od, pantoprazole 40mg od, azithromycin 500mg od, stool test, malaria parasite test"
"loss of appetite, body ache, joint pain, night sweats","iron supplements od, paracetamol 500mg tid, hydrocortisone cream bid, spirometry, stool test"
"frequent urination, loss of appetite, body ache","paracetamol 500mg tid, hydrocortisone cream bid, throat swab culture"
"diarrhea, chest pain","multivitamin daily, diclofenac 50mg bid, doxycycline 100mg bid, x-ray chest, spirometry"
"diarrhea, joint pain","loratadine 10mg od, metronidazole 400mg tid, kidney function test"
"diarrhea, frequent urination","hydrocortisone cream bid, ibuprofen 400mg bid, throat swab culture"
"headache, diarrhea","doxycycline 100mg bid, oral rehydration salts, loratadine 10mg od, cbc blood test, malaria parasite test"
"skin rash, shortness of breath, loss of taste","iron supplements od, levocetirizine 5mg od, amoxicillin 500mg tid, ecg test, urine analysis"
"weight loss, sore throat, headache, sneezing","cetirizine 10mg od, paracetamol 500mg tid, urine analysis, ecg test"
"sore throat, dizziness, loss of smell, cough","atorvastatin 10mg od, azithromycin 500mg od, multivitamin daily, serum electrolytes, blood sugar test"
"swelling, diarrhea, skin rash","atorvastatin 10mg od, loratadine 10mg od, cbc blood test, stool test"
"runny nose, muscle pain, difficulty breathing, itching","hydrocortisone cream bid, iron supplements od, metronidazole 400mg tid, blood sugar test"
"cough, loss of taste, shortness of breath, sneezing","ibuprofen 400mg bid, iron supplements od, stool test"
"fatigue, loss of smell, runny nose, night sweats","pantoprazole 40mg od, azithromycin 500mg od, liver function test"
"frequent urination, loss of taste, fatigue","diclofenac 50mg bid, multivitamin daily, dengue test, serum electrolytes"
"fever, headache, loss of appetite","salbutamol inhaler prn, diclofenac 50mg bid, azithromycin 500mg od, ecg test, liver function test"
"itching, dizziness, fatigue","amoxicillin 500mg tid, oral rehydration salts, pantoprazole 40mg od, liver function test"
"swelling, sneezing","doxycycline 100mg bid, paracetamol 500mg tid, amoxicillin 500mg tid, spirometry"
"burning urination, vomiting, dizziness, ear pain","diclofenac 50mg bid, oral rehydration salts, ibuprofen 400mg bid, ecg test, spirometry"
"productive cough, sore throat","paracetamol 500mg tid, pantoprazole 40mg od, blood sugar test, spirometry"
"ear pain, dizziness, palpitations, headache","metronidazole 400mg tid, amoxicillin 500mg tid, multivitamin daily, urine analysis"
"runny nose, itching, body ache, headache","azithromycin 500mg od, atorvastatin 10mg od, hydrocortisone cream bid, serum electrolytes, malaria parasite test"
"joint pain, loss of smell, fever","atorvastatin 10mg od, azithromycin 500mg od, malaria parasite test, serum electrolytes"
"diarrhea, swelling, eye redness","atorvastatin 10mg od, iron supplements od, metronidazole 400mg tid, blood sugar test"
"frequent urination, joint pain","oral rehydration salts, atorvastatin 10mg od, azithromycin 500mg od, dengue test"
"weight loss, back pain, night sweats","paracetamol 500mg tid, hydrocortisone cream bid, multivitamin daily, cbc blood test, ecg test"
"fever, shortness of breath, abdominal pain","cetirizine 10mg od, metronidazole 400mg tid, doxycycline 100mg bid, throat swab culture"
"skin rash, sneezing, frequent urination, runny nose","iron supplements od, metronidazole 400mg tid, cetirizine 10mg od, dengue test, liver function test"
"abdominal pain, eye redness, loss of taste, palpitations","paracetamol 500mg tid, loratadine 10mg od, throat swab culture"
"loss of taste, joint pain, cough","diclofenac 50mg bid, loratadine 10mg od, cetirizine 10mg od, ecg test"
"back pain, frequent urination, shortness of breath","hydrocortisone cream bid, pantoprazole 40mg od, throat swab culture"
"itching, night sweats, sore throat, vomiting","amoxicillin 500mg tid, azithromycin 500mg od, ondansetron 4mg tid, blood sugar test, dengue test"
"runny nose, loss of smell, eye redness, swelling","iron supplements od, levocetirizine 5mg od, cetirizine 10mg od, x-ray chest"
"sneezing, muscle pain","salbutamol inhaler prn, pantoprazole 40mg od, iron supplements od, ecg test"
"muscle pain, runny nose","ondansetron 4mg tid, levocetirizine 5mg od, hydrocortisone cream bid, spirometry"
"shortness of breath, dizziness","atorvastatin 10mg od, levocetirizine 5mg od, dengue test, throat swab culture"
"runny nose, fever, productive cough, weight loss","iron supplements od, ibuprofen 400mg bid, cbc blood test"
"chest pain, burning urination, weight loss","azithromycin 500mg od, cetirizine 10mg od, cbc blood test"
"shortness of breath, difficulty breathing, dizziness, body ache","atorvastatin 10mg od, loratadine 10mg od, urine analysis"
"vomiting, headache, loss of appetite, swelling","doxycycline 100mg bid, loratadine 10mg od, salbutamol inhaler prn, ecg test, stool test"
"itching, abdominal pain","doxycycline 100mg bid, azithromycin 500mg od, stool test, x-ray chest"
"cough, night sweats, loss of appetite","levocetirizine 5mg od, amoxicillin 500mg tid, blood sugar test, malaria parasite test"
"body ache, fever, dizziness, joint pain","metronidazole 400mg tid, hydrocortisone cream bid, oral rehydration salts, malaria parasite test"
"sore throat, joint pain, shortness of breath, back pain","paracetamol 500mg tid, amoxicillin 500mg tid, dengue test, kidney function test"
"frequent urination, shortness of breath, headache","amoxicillin 500mg tid, paracetamol 500mg tid, liver function test"
"vomiting, ear pain","hydrocortisone cream bid, iron supplements od, serum electrolytes"
"shortness of breath, chest pain, frequent urination","oral rehydration salts, iron supplements od, levocetirizine 5mg od, kidney function test, stool test"
"productive cough, sore throat","salbutamol inhaler prn, ondansetron 4mg tid, paracetamol 500mg tid, stool test, urine analysis"
"swelling, headache, fatigue, dizziness","levocetirizine 5mg od, doxycycline 100mg bid, x-ray chest, ecg test"
"loss of smell, runny nose, skin rash, back pain","diclofenac 50mg bid, amoxicillin 500mg tid, blood sugar test"
"palpitations, abdominal pain, ear pain, fever","atorvastatin 10mg od, ibuprofen 400mg bid, spirometry, serum electrolytes"
"chest pain, palpitations, muscle pain","metronidazole 400mg tid, iron supplements od, cbc blood test"
"dizziness, shortness of breath","amoxicillin 500mg tid, levocetirizine 5mg od, diclofenac 50mg bid, serum electrolytes"
"abdominal pain, weight loss, cough, ear pain","diclofenac 50mg bid, loratadine 10mg od, cbc blood test"
"abdominal pain, loss of appetite","cetirizine 10mg od, diclofenac 50mg bid, throat swab culture"
"difficulty breathing, skin rash, sneezing, night sweats","oral rehydration salts, ondansetron 4mg tid, x-ray chest, spirometry"
"night sweats, abdominal pain, back pain, eye redness","ondansetron 4mg tid, amoxicillin 500mg tid, dengue test"
"productive cough, fatigue, abdominal pain, night sweats","ibuprofen 400mg bid, ondansetron 4mg tid, salbutamol inhaler prn, kidney function test"
"itching, abdominal pain","cetirizine 10mg od, pantoprazole 40mg od, cbc blood test, serum electrolytes"
"ear pain, swelling","iron supplements od, cetirizine 10mg od, blood sugar test, cbc blood test"
"swelling, dizziness, skin rash, chest pain","iron supplements od, paracetamol 500mg tid, oral rehydration salts, ecg test, cbc blood test"
"fatigue, productive cough, headache, skin rash","doxycycline 100mg bid, paracetamol 500mg tid, oral rehydration salts, spirometry, malaria parasite test"
"frequent urination, vomiting, productive cough","ibuprofen 400mg bid, salbutamol inhaler prn, iron supplements od, stool test"
"back pain, loss of appetite","loratadine 10mg od, ondansetron 4mg tid, pantoprazole 40mg od, throat swab culture"
"runny nose, headache, muscle pain","doxycycline 100mg bid, salbutamol inhaler prn, stool test, kidney function test"
"loss of appetite, dizziness, loss of smell","atorvastatin 10mg od, ibuprofen 400mg bid, malaria parasite test, throat swab culture"
"abdominal pain, vomiting, loss of taste","salbutamol inhaler prn, oral rehydration salts, ecg test"
"ear pain, dizziness, headache","azithromycin 500mg od, oral rehydration salts, serum electrolytes"
"loss of taste, eye redness","ondansetron 4mg tid, ibuprofen 400mg bid, spirometry"
"back pain, abdominal pain","ibuprofen 400mg bid, cetirizine 10mg od, kidney function test"
"body ache, dizziness, vomiting","ibuprofen 400mg bid, levocetirizine 5mg od, ecg test"
"vomiting, fever, sore throat","cetirizine 10mg od, iron supplements od, blood sugar test"
"shortness of breath, night sweats","doxycycline 100mg bid, atorvastatin 10mg od, diclofenac 50mg bid, malaria parasite test"
"vomiting, fever, fatigue, joint pain","metronidazole 400mg tid, iron supplements od, azithromycin 500mg od, cbc blood test"
"palpitations, vomiting, sore throat","diclofenac 50mg bid, pantoprazole 40mg od, kidney function test, malaria parasite test"
"productive cough, difficulty breathing","metronidazole 400mg tid, atorvastatin 10mg od, cetirizine 10mg od, x-ray chest, stool test"
"loss of smell, cough","hydrocortisone cream bid, atorvastatin 10mg od, amoxicillin 500mg tid, cbc blood test"
"runny nose, frequent urination","loratadine 10mg od, azithromycin 500mg od, pantoprazole 40mg od, stool test, throat swab culture"
"body ache, headache, dizziness","iron supplements od, oral rehydration salts, ecg test, stool test"
"chest pain, dizziness, joint pain","azithromycin 500mg od, doxycycline 100mg bid, kidney function test"
"eye redness, loss of taste","hydrocortisone cream bid, azithromycin 500mg od, multivitamin daily, serum electrolytes"
"weight loss, diarrhea, joint pain","doxycycline 100mg bid, levocetirizine 5mg od, diclofenac 50mg bid, x-ray chest, throat swab culture"
"loss of taste, joint pain, swelling","paracetamol 500mg tid, metronidazole 400mg tid, malaria parasite test, cbc blood test"
